id;value
hello_world;Bonjour le Monde
Loading;Chargement
loading;Chargement
build_level;Création du niveau
start_loading;Début du chargement
loading_assets;Chargement des assets
play;Jouer
credits;Crédits
exit;Quitter
start_game;Commencer
return_button;[B] Retour
resume;Reprendre
main_menu;Retour au Menu
players_scores;Scores Joueurs
end_stage;Stage %COUNT% Achevé
press_to_continue;[A] Continuer
END_GAME_player_x_win;Joueur %ID% Vainqueur
END_GAME_title;Partie finie
GUI_Time_left;Temps restant : %NUMBER%
GUI_Round_Counter;Round %NUMBER%
tuto_sequence_01_message_01;
tuto_sequence_01_message_02;
tuto_sequence_01_message_03;
tuto_sequence_01_message_04;
tuto_sequence_01_message_05;
tuto_sequence_01_message_06;
tuto_sequence_02_message_01;
tuto_sequence_02_message_02;
tuto_sequence_02_message_03;
tuto_sequence_02_message_04;
tuto_sequence_02_message_05;
tuto_sequence_02_message_06;
tuto_sequence_02_message_07;
tuto_sequence_03_message_01;
tuto_sequence_03_message_02;
tuto_sequence_03_message_03;
tuto_sequence_03_message_04;
tuto_sequence_04_message_01;
tuto_sequence_04_message_02;
tuto_sequence_05_message_01;
tuto_sequence_05_message_02;
tuto_sequence_05_message_03;
tuto_sequence_05_message_04;
tuto_sequence_05_message_05;
tuto_sequence_05_message_06;
tuto_sequence_06_message_01;
tuto_sequence_06_message_02;
tuto_sequence_06_message_03;
tuto_sequence_06_message_04;
tuto_sequence_06_message_05;
